# Track glossary — `Tibetan term<TAB>rendering`, auto-loaded by gm_translate.py.
# Proper names pinned by gm_names.py --propose (gemini-3.1-pro-preview); one spelling each.
ཨོ་རྒྱན	ओड्डियान
ཨུ་རྒྱན	ओड्डियान
པདྨ་འབྱུང་གནས	पद्मसम्भव
གུ་རུ་རིན་པོ་ཆེ	गुरु रिन्पोछे
ཐོད་ཕྲེང་རྩལ	थोत्रेंग त्सल
ཚེ་དཔག་མེད	अमितायु
འོད་དཔག་མེད	अमिताभ
སྤྱན་རས་གཟིགས	अवलोकितेश्वर
འཇམ་དཔལ་དབྱངས	मञ्जुश्री
འཇམ་དཔལ	मञ्जुश्री
སྒྲོལ་མ	तारा
ཕྱག་ན་རྡོ་རྗེ	वज्रपाणि
ཤཱཀྱ་ཐུབ་པ	शाक्यमुनि
རྡོ་རྗེ་འཆང	वज्रधर
རྡོ་རྗེ་སེམས་དཔའ	वज्रसत्त्व
ཀུན་ཏུ་བཟང་པོ	समन्तभद्र
བྱམས་པ	मैत्रेय
རྟ་མགྲིན	हयग्रीव
ཙོང་ཁ་པ	त्सोंगखापा
བློ་བཟང་གྲགས་པ	लोबसांग द्राक्पा
མི་ལ་རས་པ	मिलारेपा
ཡེ་ཤེས་མཚོ་རྒྱལ	येशे त्सोग्याल
ཆེ་མཆོག	महोत्तर हेरुक
དགའ་རབ་རྡོ་རྗེ	गारब दोर्जे
ཤཱནྟ་རཀྵི་ཏ	शान्तरक्षित
ཞི་བ་འཚོ	शान्तरक्षित
ཁྲི་སྲོང་ལྡེའུ་བཙན	त्रिसोंग देत्सेन
ཁྲི་སྲོང་ལྡེ་བཙན	त्रिसोंग देत्सेन
བི་མ་ལ་མི་ཏྲ	विमलमित्र
ཀློང་ཆེན	लोंगचेनपा
ཨ་ཏི་ཤ	अतीश
བསམ་ཡས	साम्ये
ཟངས་མདོག་དཔལ་རི	ज़ांगदोग पालरी
ཛམྦུ་གླིང	जम्बुद्वीप
བོད་ཡུལ	तिब्बत
བོད	तिब्बत
# Added 2026-09-07 after the corpus spot-reads: a source spelling variant, the ཨེ་མ་ཧོ interjection.
ཐོད་འཕྲེང་རྩལ	थोत्रेंग त्सल
ཨེ་མ་ཧོ	एमाहो
